진료년월,우울증_환자수,불면증_환자수
2020년 05월,17805,10241
2020년 06월,18226,10156
2020년 07월,18654,10285
2020년 08월,18353,9997
2020년 09월,18951,10530
2020년 10월,18396,10222
2020년 11월,18796,10289
2020년 12월,19023,10752
2021년 01월,18782,10745
2021년 02월,18375,10602
2021년 03월,19890,11519
2021년 04월,19812,11121
2021년 05월,19737,10812
2021년 06월,20124,10968
2021년 07월,20048,10652
2021년 08월,20152,10918
2021년 09월,20201,11168
2021년 10월,20371,11405
2021년 11월,20557,11183
2021년 12월,20776,11719
2022년 01월,20191,11577
2022년 02월,19510,11133
2022년 03월,20649,11714
2022년 04월,20846,11421
2022년 05월,21658,11712
2022년 06월,21256,11173
2022년 07월,20662,11160
2022년 08월,21028,11848
2022년 09월,20892,12110
2022년 10월,20887,12108
2022년 11월,21079,12314
2022년 12월,20749,12347
2023년 01월,20002,12582
2023년 02월,19764,12269
2023년 03월,20899,12892
2023년 04월,20574,12043
2023년 05월,21536,12740
2023년 06월,21644,12431
2023년 07월,21325,12122
2023년 08월,21598,12280
2023년 09월,21688,12378
2023년 10월,22151,12958
2023년 11월,21893,12361
2023년 12월,22164,12484
2024년 01월,22605,13435
2024년 02월,21883,12600
2024년 03월,22548,12918
2024년 04월,22961,13245
2024년 05월,23523,13165
2024년 06월,22890,12362
2024년 07월,23522,12908
2024년 08월,23425,12675
2024년 09월,23356,12601
2024년 10월,23936,13366
2024년 11월,23749,12893
2024년 12월,23795,13249
2025년 01월,22911,13056
2025년 02월,23318,13250
2025년 03월,23921,13162
2025년 04월,24287,13434
2025년 05월,24298,13159
2025년 06월,23781,12897
2025년 07월,24120,13100
2025년 08월,24034,12777
